"","id","standard","standard_num","child_age_centered","child_sex","child_religion","question_type","response","why"
"1","Z03C07","3",1,-2.04670294699073,"male","hindu","ancestors",4,"because they speak many laguages "
"2","Z05C10","5",2,-0.646702946990732,"male","muslim","ancestors",3,"because I don't know who speak language"
"3","Z03C04","3",1,-1.64670294699073,"male","muslim","ancestors",3,"because they will have and easy"
"4","Z03C49","3",1,-2.64670294699073,"female","muslim","ancestors",4,"because it is some we can try to do it"
"5","Z05C06","5",2,-0.646702946990732,"male","other","ancestors",5,"because her language is same"
"6","Z05C45","5",2,-0.646702946990732,"female","hindu","ancestors",4,"because they know but we don't spoken o we will know very well"
"7","Z05C50","5",2,-0.946702946990733,"female","hindu","ancestors",4,""
"8","Z07A09","7",3,1.35329705300927,"male",NA,"ancestors",5,"because my family members also speak that language"
"9","Z07A10","7",3,2.35329705300927,"male","muslim","ancestors",3,"because we want to learn it and we have to concentrate"
"10","Z07A12","7",3,2.35329705300927,"male","hindu","ancestors",1,"because I don't understand these language"
"11","Z07A13","7",3,1.35329705300927,"male",NA,"ancestors",5,"because my ancestors speak gujarati language and today I also speak gujarati language"
"12","Z07A14","7",3,2.35329705300927,"male","hindu","ancestors",3,"because ancestors language not understand"
"13","Z07A40","7",3,1.35329705300927,"female","muslim","ancestors",5,"because I want to learn other language"
"14","Z07A40","7",3,1.35329705300927,"female","muslim","ancestors",5,"because i want to learn other language"
"15","Z07A45","7",3,1.35329705300927,"female","muslim","ancestors",2,"because in only one time to speak or tell from that we cannot understand the language"
"16","Z07A55","7",3,2.35329705300927,"female","hindu","ancestors",3,"it is easy and somehow not easy to learn that language"
"17","Z07A59","7",3,2.35329705300927,"female","hindu","ancestors",3,"I neither agree nore disagree because for me it is easy to learn that language from anyone. I can understand but it depends on the brain of the person"
"18","Z07B03","7",3,1.35329705300927,"male","hindu","ancestors",2,"because the language that we not understand that language was not easy for our"
"19","Z07B11","7",3,2.35329705300927,"male","other","ancestors",1,"because I disagree and I not spoken my ancestors' language"
"20","Z07B21","7",3,2.35329705300927,"male","muslim","ancestors",2,""
"21","Z07B38","7",3,2.35329705300927,"female","hindu","ancestors",3,"because it is not easy to learn any other language easily"
"22","Z07B48","7",3,1.35329705300927,"female","muslim","ancestors",2,"because our ancestor speaks a language that our mother and father speaks but if we don't speak what our ancestor speaks it is tough hard to speak"
"23","Z05B11","5",2,0.353297053009268,"male","hindu","ancestors",5,"because we will not speak other languages we would not know how other people of other countries are speaking difficult languages"
"24","Z05B55","5",2,-0.646702946990732,"female","muslim","ancestors",2,"because ancestors were born ages ago and we cannot know which language they spoke easily"
"25","Z05B12","5",2,0.353297053009268,"male","muslim","ancestors",3,"because we cannot learn that language we want someone to learn our language"
"26","Z05B19","5",2,0.353297053009268,"male","hindu","ancestors",2,"because if there is no one speaking this language then how did we learn"
"27","Z07A05","7",3,1.35329705300927,"male","muslim","ancestors",3,"because their language is hard than our language"
"28","Z05B17","5",2,-0.646702946990732,"male","hindu","ancestors",3,"because we not know the language they spoke either(Gujarati, Hindi, and many other)"
"29","Z07A42","7",3,1.35329705300927,"female","hindu","ancestors",5,"yes we can learn it easily because it will be spoken by our parents"
"30","Z07B39","7",3,1.35329705300927,"female","hindu","ancestors",4,"because learning a language is a good habit so I am agree somewhat"
"31","Z05C44","5",2,-0.646702946990732,"female","hindu","ancestors",4,"because it's the language we speak would be somewhat same as our ancestors will teach their children the same language we will also knowing about that language (some words)"
"32","Z03C01","3",1,-2.27842337709826,"male","muslim","ancestors",3,"because they will speak or do not speak"
"33","Z03C02","3",1,-2.84670294699073,"male","muslim","ancestors",5,""
"34","Z03C43","3",1,-2.64670294699073,"female","muslim","ancestors",3,"because we can speak or do not speak"
"35","Z03C44","3",1,-1.94670294699073,"female","hindu","ancestors",3,"because we are not our ancestors"
"36","Z03C46","3",1,-2.84670294699073,"female","muslim","ancestors",2,"because some who disagree are this language or next language"
"37","Z05B05","5",2,-0.646702946990732,"male","muslim","ancestors",1,"because the easier language don't talk in our language"
"38","Z05B20","5",2,-0.646702946990732,"male","muslim","ancestors",4,"because the ancestors speak the language and other language we speak"
"39","Z05C48","5",2,-0.646702946990732,"female","muslim","ancestors",4,"because some people would talk in the language because he/she like the language to talk"
"40","Z05C56","5",2,-0.646702946990732,"female","muslim","ancestors",4,"because if our ancestors have spoken that language so we will also have some experience"
"41","Z07A11","7",3,2.35329705300927,"male","hindu","ancestors",3,"because I can not speak to much best then ancestors"
"42","Z07A16","7",3,1.35329705300927,"male","muslim","ancestors",2,"because it will be difficult if someone speaks that language"
"43","Z07A18","7",3,1.35329705300927,"male","muslim","ancestors",2,"because ancestors did know my language so I think somewhat disagree"
"44","Z07A19","7",3,1.35329705300927,"male","muslim","ancestors",2,"because it was too hard to learn ancestor language it will take time to learn this"
"45","Z07A20","7",3,1.35329705300927,"male","muslim","ancestors",5,"because my all the relationship is all language is same so I will can easy"
"46","Z07A21","7",3,1.35329705300927,"male","hindu","ancestors",2,"because mostly my parents and family member speak that language only"
"47","Z07A41","7",3,1.35329705300927,"female","hindu","ancestors",4,"because they are my ancestors and like I understand my father language then I also understand and speak their language"
"48","Z07A43","7",3,1.35329705300927,"female","muslim","ancestors",4,"because it will be hard to learn them my language was different"
"49","Z07A46","7",3,1.35329705300927,"female","muslim","ancestors",2,"because mostly in the family speak same language that is why it is somewhat disagree to understand this language"
"50","Z07A48","7",3,1.35329705300927,"female","muslim","ancestors",4,"because we also want to learn new language to communicate"
"51","Z07A51","7",3,2.35329705300927,"female","muslim","ancestors",3,"because if we start speak so get easily to understand this language"
"52","Z07A56","7",3,2.35329705300927,"female","hindu","ancestors",4,"because these is our ancestor's language somewhat we have to try to speak but sometime it is also hard to speak"
"53","Z07A58","7",3,1.35329705300927,"female","hindu","ancestors",4,"because nobody at our home know that language but is anybody taught us we can learn little bit of"
"54","Z07B05","7",3,1.35329705300927,"male","muslim","ancestors",3,"because we only use Hindi language"
"55","Z07B12","7",3,2.35329705300927,"male","muslim","ancestors",4,"because I know it's easier language so i think it is somewhat easier"
"56","Z07B12","7",3,2.35329705300927,"male","muslim","ancestors",4,"becuase I know it is easier language so I think it's somewhat ago"
"57","Z07B41","7",3,1.35329705300927,"female","muslim","ancestors",4,""
"58","Z07B55","7",3,2.35329705300927,"female","muslim","ancestors",4,"because it must be easier to speak"
"59","Z05C46","5",2,-0.646702946990732,"female","muslim","ancestors",3,"because we not now that ancestors spoken by my ancestors"
"60","Z07A39","7",3,1.35329705300927,"female","hindu","ancestors",3,"because I have never tried to learn that language so I can't say anything"
"61","Z07A50","7",3,2.35329705300927,"female","muslim","ancestors",4,"because they will speak and we will have to learn that language as are ancestors have learned that"
"62","Z03C47","3",1,-2.34670294699073,"female","hindu","ancestors",3,"because I can learn 50% and I can not learn 50%"
"63","Z07A02","7",3,1.35329705300927,"male","hindu","ancestors",4,"because we can go to any class and we can speak that language"
"64","Z07B06","7",3,2.35329705300927,"male","hindu","ancestors",4,"because it is our family language and we should learn this language"
"65","Z05B56","5",2,0.353297053009268,"female","muslim","ancestors",4,"because our past generation is speaking so any don't know the language "
"66","Z03C48","3",1,-2.74670294699073,"female","hindu","ancestors",3,"because it is not easy and easy also"
"67","Z03C10","3",1,-2.24670294699073,"male","hindu","ancestors",1,"because we all are marathi so we not speak english, hindi, etc"
"68","Z03C14","3",1,-2.54670294699073,"male","hindu","ancestors",5,"because it is real"
"69","Z05B62","5",2,-0.646702946990732,"female","hindu","ancestors",3,"because 50% we know and 50% we don't know"
"70","Z05C04","5",2,-0.646702946990732,"male","hindu","ancestors",3,"because it is easy because my grandfather say ths language"
"71","Z05C09","5",2,-0.646702946990732,"male","hindu","ancestors",1,"because if nobody in the family will speak that language then we will not be able to learn the language"
"72","Z05C49","5",2,-0.646702946990732,"female","hindu","ancestors",5,"because we speak easy and learn easy and we also understand this language"
"73","Z07A01","7",3,1.35329705300927,"male","hindu","ancestors",3,"I can only learn 50% because it would be complicated to learn"
"74","Z07A04","7",3,1.35329705300927,"male","hindu","ancestors",4,"because our ancestors tell to our parents and our parents will tell me"
"75","Z07A06","7",3,2.35329705300927,"male","hindu","ancestors",3,"becuase we speak only the language of which our parents have taught us or they would speak all the time so it would be difficult neither easy"
"76","Z07A06","7",3,2.35329705300927,"male","hindu","ancestors",3,"because we speak only the language of which our parents has taught us or they would speak all the time/ so it would difficult then easy"
"77","Z07A47","7",3,2.35329705300927,"female","hindu","ancestors",4,"because if someone in our family know that language they will teach us so we can learn that language easily"
"78","Z07B08","7",3,1.35329705300927,"male","hindu","ancestors",4,"because it is in my blood to speak that language"
"79","Z07B40","7",3,1.35329705300927,"female","hindu","ancestors",3,"because I think that it may be hard or not be hard"
"80","Z07B43","7",3,1.35329705300927,"female","hindu","ancestors",2,"because we take a time to learn any new language"
"81","Z07B07","7",3,2.35329705300927,"male","hindu","ancestors",4,"because we have take lots of time to study the ancestors' language and we have to first like hard then ultimately we will like that language"
"82","Z05B32","5",2,0.353297053009268,"male","muslim","ancestors",NA,""
"83","Z03C07","3",1,-2.04670294699073,"male","hindu","indian",3,"India people has easy to speak Hindi and Hindi is very hard to speak"
"84","Z05C10","5",2,-0.646702946990732,"male","muslim","indian",5,""
"85","Z03C04","3",1,-1.64670294699073,"male","muslim","indian",2,"because one laugaguaes are hard"
"86","Z03C49","3",1,-2.64670294699073,"female","muslim","indian",2,"because they are comed from different place"
"87","Z05C06","5",2,-0.646702946990732,"male","other","indian",5,"because he live in India and they were speaking all languages"
"88","Z05C45","5",2,-0.646702946990732,"female","hindu","indian",5,"because he is from India so he know easier"
"89","Z05C50","5",2,-0.946702946990733,"female","hindu","indian",4,"because it is near India so it easily learn the India language"
"90","Z07A09","7",3,1.35329705300927,"male",NA,"indian",3,"as both are born in india they can learn from their parents"
"91","Z07A10","7",3,2.35329705300927,"male","muslim","indian",3,"because he was living outside india. he can or not?"
"92","Z07A12","7",3,2.35329705300927,"male","hindu","indian",1,"because the people not from india"
"93","Z07A13","7",3,1.35329705300927,"male",NA,"indian",3,"because we can't say that he/she will learn their language or not"
"94","Z07A14","7",3,2.35329705300927,"male","hindu","indian",2,"because other regions are language are india language after no"
"95","Z07A40","7",3,1.35329705300927,"female","muslim","indian",4,"because indian people do not understand outside language"
"96","Z07A40","7",3,1.35329705300927,"female","muslim","indian",4,"because indian people does not understand outside language"
"97","Z07A45","7",3,1.35329705300927,"female","muslim","indian",3,"because he/she has been in India only and he/she could remember her mother tongue"
"98","Z07A55","7",3,2.35329705300927,"female","hindu","indian",1,"because he will understand what the person is telling he will understand but how to speak it will difficult"
"99","Z07A59","7",3,2.35329705300927,"female","hindu","indian",4,"because if I can learn outside language such as english so why they can't. They can also learn to speak any language of India."
"100","Z07B03","7",3,1.35329705300927,"male","hindu","indian",2,"because the language that we listen first time was not easy for our"
"101","Z07B11","7",3,2.35329705300927,"male","other","indian",5,"because I agree to learn Indian language is hard"
"102","Z07B21","7",3,2.35329705300927,"male","muslim","indian",2,""
"103","Z07B38","7",3,2.35329705300927,"female","hindu","indian",5,"because Indian people know languages that are speak in India"
"104","Z07B48","7",3,1.35329705300927,"female","muslim","indian",4,"because that indian person is living in india for many years and he is easily to speak indian language"
"105","Z05B11","5",2,0.353297053009268,"male","hindu","indian",5,"because they don't know how Indian people speak different languages"
"106","Z05B55","5",2,-0.646702946990732,"female","muslim","indian",4,"because the one which is not from India try ahrd then he can know the language"
"107","Z05B12","5",2,0.353297053009268,"male","muslim","indian",4,"because their parents can know this language then they can speak that language easily"
"108","Z05B19","5",2,0.353297053009268,"male","hindu","indian",5,"because if he is from India because in their neighbours and society they are speaking Gujarati, hindi, marathi then he can learn from them"
"109","Z07A05","7",3,1.35329705300927,"male","muslim","indian",4,"because the person is telling indian language from childhood"
"110","Z05B17","5",2,-0.646702946990732,"male","hindu","indian",4,"because he had heard the language that indian people speak. he can describe the language spoken in India"
"111","Z07A42","7",3,1.35329705300927,"female","hindu","indian",4,"because it is from india and somewhat because he has not heard it before"
"112","Z07B39","7",3,1.35329705300927,"female","hindu","indian",5,"It will be easier to learn an Indian language because we can learn any language "
"113","Z05C44","5",2,-0.646702946990732,"female","hindu","indian",4,"because the person is from India but living in other country. He would be speaking that countries' lanugage so when he tries to learn Indian language he would be 75% able to speak it"
"114","Z03C01","3",1,-2.27842337709826,"male","muslim","indian",1,"because he is from india"
"115","Z03C02","3",1,-2.8886384308617,"male","muslim","indian",1,"because it can come india"
"116","Z03C43","3",1,-2.64670294699073,"female","muslim","indian",3,"because they can speak or do not speak"
"117","Z03C44","3",1,-1.94670294699073,"female","hindu","indian",2,"because another people is not from India"
"118","Z03C46","3",1,-2.84670294699073,"female","muslim","indian",3,"because neither agree nor disagree to our other language"
"119","Z05B05","5",2,-0.646702946990732,"male","muslim","indian",1,"not  because the other language peope don't talk the other language"
"120","Z05B20","5",2,-0.646702946990732,"male","muslim","indian",3,"because the person do not live in India would be not speak the language"
"121","Z05C48","5",2,-0.646702946990732,"female","muslim","indian",5,"because when he born and when he grow up still he see the people talk in the language so he know how to speak the language he talk in india"
"122","Z05C56","5",2,-0.646702946990732,"female","muslim","indian",5,"because that person who is from India because he had heard that languages so that's why he will know that languages"
"123","Z07A11","7",3,2.35329705300927,"male","hindu","indian",4,"because him/her can be learn outside the country languages"
"124","Z07A16","7",3,1.35329705300927,"male","muslim","indian",3,"it is easier for people who live in India because Indian know his language"
"125","Z07A18","7",3,1.35329705300927,"male","muslim","indian",5,"they not forgot that language of India"
"126","Z07A19","7",3,1.35329705300927,"male","muslim","indian",2,"because they live outside from India so if is not necessary to learn indian language only"
"127","Z07A20","7",3,1.35329705300927,"male","muslim","indian",4,"because he understan in India so he somewhat agree"
"128","Z07A21","7",3,1.35329705300927,"male","hindu","indian",3,"because it was hard for that person to learn that language"
"129","Z07A41","7",3,1.35329705300927,"female","hindu","indian",4,"because as it is a Indian India language is easy for it to speak and understand"
"130","Z07A43","7",3,1.35329705300927,"female","muslim","indian",4,"becasue he was Indian he learn Hindi and Gujarati language"
"131","Z07A46","7",3,1.35329705300927,"female","muslim","indian",4,"because it somewhat agree if someone help him to explain the language"
"132","Z07A48","7",3,1.35329705300927,"female","muslim","indian",4,"because he know the language which he speaks"
"133","Z07A51","7",3,2.35329705300927,"female","muslim","indian",2,"because it is not easy to learn a language which we cannot speak by him/her"
"134","Z07A56","7",3,2.35329705300927,"female","hindu","indian",4,"because he is living out of India and somewhat he had not speak very much this language so he can also find different to speak their and he come to India to live so he would try to learn"
"135","Z07A58","7",3,1.35329705300927,"female","hindu","indian",4,"yes because although he is not living in India but when he call his relatives how live in India so if they not know that language so they say in their language so he can learn"
"136","Z07B05","7",3,1.35329705300927,"male","muslim","indian",4,"because some Indian language is easier"
"137","Z07B12","7",3,2.35329705300927,"male","muslim","indian",3,"because it's neither "
"138","Z07B12","7",3,2.35329705300927,"male","muslim","indian",3,"because it's neither age out"
"139","Z07B41","7",3,1.35329705300927,"female","muslim","indian",3,""
"140","Z07B55","7",3,2.35329705300927,"female","muslim","indian",2,"because it will be difficult to speak"
"141","Z07A02","7",3,1.35329705300927,"male","hindu","indian",5,"yes because he lived in india so he can speak any language"
"142","Z05C46","5",2,-0.646702946990732,"female","muslim","indian",5,"becase we now the India person strongly agree that Indian person differently do it"
"143","Z07A39","7",3,1.35329705300927,"female","hindu","indian",4,"because the indian person was born in india even though he/she forgot indian language. it's easy to learn it again"
"144","Z07A50","7",3,2.35329705300927,"female","muslim","indian",5,"because he or she has to live there and for their daily needs they have to learn that languages"
"145","Z03C47","3",1,-2.34670294699073,"female","hindu","indian",4,"because there are some words that much people don't know"
"146","Z07B06","7",3,2.35329705300927,"male","hindu","indian",5,"because he is Indian so he should learn Indian language"
"147","Z05B56","5",2,0.353297053009268,"female","muslim","indian",5,"because his family is from India and his famil will ehlp him to learn so why he will not learn, he will learn it"
"148","Z03C48","3",1,-2.74670294699073,"female","hindu","indian",1,"because it is very easy to learn them"
"149","Z03C10","3",1,-2.24670294699073,"male","hindu","indian",5,"because who is from india he can be very easy to speak the language"
"150","Z03C14","3",1,-2.54670294699073,"male","hindu","indian",5,"because it is easy to speak"
"151","Z05B62","5",2,-0.646702946990732,"female","hindu","indian",4,"because if they are stay for many days that they would be able to speak 75%"
"152","Z05C04","5",2,-0.646702946990732,"male","hindu","indian",5,"because I live in India and another is living out of India"
"153","Z05C09","5",2,-0.646702946990732,"male","hindu","indian",3,"because if he does not live in India it is little difficult for him, but as he is from India he may have learned a little bit of Indian language"
"154","Z05C49","5",2,-0.646702946990732,"female","hindu","indian",5,"because Indian people also know Gujarati, Hindi, Marathi and it also understood what we talk with her/his."
"155","Z07A01","7",3,1.35329705300927,"male","hindu","indian",2,"because he doesn't know any Indian language that's why it would be very hard for him"
"156","Z07A04","7",3,1.35329705300927,"male","hindu","indian",5,"person from india he speak hindi, gujarati, marathi, and person not from india only speak english"
"157","Z07A06","7",3,2.35329705300927,"male","hindu","indian",5,"we agree because the person who lives in India and gone outside but if he lived in India for minimum 5-10 years so he would know the Indian language and after going out he would speak only English"
"158","Z07A06","7",3,2.35329705300927,"male","hindu","indian",5,"we agree because the person who lives in india and gone outside. but! if he lived in India for minimum 5-10 years so he would know the Indian language and after going out he would speak only English"
"159","Z07A47","7",3,2.35329705300927,"female","hindu","indian",4,"because if they learn any language they can speak or learn if they do nicely and seriously learning"
"160","Z07B08","7",3,1.35329705300927,"male","hindu","indian",5,"because he is a Indian and first he was living in India so it would be easy"
"161","Z07B40","7",3,1.35329705300927,"female","hindu","indian",4,"because I think they both live outside India but the person who is from india but do not live in India he weill spoke some language of India"
"162","Z07B43","7",3,1.35329705300927,"female","hindu","indian",5,"because she/he is Indian"
"163","Z07B07","7",3,2.35329705300927,"male","hindu","indian",5,"because the Indians speak language easily everywhere because they were form India in her/his mind"
"164","Z05B32","5",2,0.353297053009268,"male","muslim","indian",NA,""
"165","Z03C07","3",1,-2.04670294699073,"male","hindu","french",3,"because my ancestors not speak very different language"
"166","Z05C10","5",2,-0.646702946990732,"male","muslim","french",3,"I have no idea"
"167","Z03C04","3",1,-1.64670294699073,"male","muslim","french",2,"because French language is hard to learn"
"168","Z03C49","3",1,-2.64670294699073,"female","muslim","french",1,"because she's grandfather knows"
"169","Z05C06","5",2,-0.646702946990732,"male","other","french",5,"because her ancestors we speaking French"
"170","Z05C45","5",2,-0.646702946990732,"female","hindu","french",3,"because their acnestors spoke French easier"
"171","Z05C50","5",2,-0.946702946990733,"female","hindu","french",4,"because it is good to learn language"
"172","Z07A09","7",3,1.35329705300927,"male",NA,"french",1,"because we are now speaking indian language"
"173","Z07A10","7",3,2.35329705300927,"male","muslim","french",4,"because when our ancestor speak French we can also"
"174","Z07A12","7",3,2.35329705300927,"male","hindu","french",4,"because in some day I also understood French language and I also learn French"
"175","Z07A13","7",3,1.35329705300927,"male",NA,"french",2,"because I have never spoken french language"
"176","Z07A14","7",3,2.35329705300927,"male","hindu","french",2,"ancestors was french an come to indian I am doin him"
"177","Z07A40","7",3,1.35329705300927,"female","muslim","french",1,"because our parents teach me a language and they have no knowledge"
"178","Z07A45","7",3,1.35329705300927,"female","muslim","french",2,"because we can't learn other language easily"
"179","Z07A55","7",3,2.35329705300927,"female","hindu","french",1,"because I will not understand what they are trying to tell me"
"180","Z07A59","7",3,2.35329705300927,"female","hindu","french",4,"because it will be easier for me to learn French"
"181","Z07B03","7",3,1.35329705300927,"male","hindu","french",3,"because french is very hard language"
"182","Z07B11","7",3,2.35329705300927,"male","other","french",4,"because I learn French as someone my friend as french and I learn hard French"
"183","Z07B21","7",3,2.35329705300927,"male","muslim","french",4,"the french is agree is the people"
"184","Z07B38","7",3,2.35329705300927,"female","hindu","french",3,"not sure it could be or could be not"
"185","Z07B48","7",3,1.35329705300927,"female","muslim","french",4,"because in our family our parents do not speak French but i am somewhat agree about this"
"186","Z05B11","5",2,0.353297053009268,"male","hindu","french",5,"because we like to learn other languages like French"
"187","Z05B55","5",2,-0.646702946990732,"female","muslim","french",2,"because it will be very hard for me to learn French and I will only learn a bit"
"188","Z05B12","5",2,0.353297053009268,"male","muslim","french",1,""
"189","Z05B19","5",2,0.353297053009268,"male","hindu","french",4,"because if he will try successfully then he can learn French"
"190","Z07A05","7",3,1.35329705300927,"male","muslim","french",3,"because I am not speaking french from childhood"
"191","Z05B17","5",2,-0.646702946990732,"male","hindu","french",4,"because if I practice to speak french I also learn as well as 75%"
"192","Z07A42","7",3,1.35329705300927,"female","hindu","french",4,"it will easy because if we practice we will learn"
"193","Z07B39","7",3,1.35329705300927,"female","hindu","french",4,"learning other languages is good"
"194","Z05C44","5",2,-0.646702946990732,"female","hindu","french",2,"because our family and his family don't know the language but as his ancestor speak the language it would be easier for him to learn it"
"195","Z03C01","3",1,-2.27842337709826,"male","muslim","french",2,"because me and my friend of india"
"196","Z03C02","3",1,-2.8886384308617,"male","muslim","french",4,"because my friend once learn soft and french"
"197","Z03C02","3",1,-2.84670294699073,"male","muslim","french",4,"because my friend once learn soft and french"
"198","Z03C43","3",1,-2.64670294699073,"female","muslim","french",5,"because we will learn together"
"199","Z03C44","3",1,-1.94670294699073,"female","hindu","french",1,"because my freind ancestors spoke french and my ancestor not spoke french"
"200","Z03C46","3",1,-2.84670294699073,"female","muslim","french",4,"because somewhat this is like agree to this language to other language"
"201","Z05B05","5",2,-0.646702946990732,"male","muslim","french",3,"because in India don't take french"
"202","Z05B20","5",2,-0.646702946990732,"male","muslim","french",1,"because our ancestor spoke language we also spoke that language"
"203","Z05C48","5",2,-0.646702946990732,"female","muslim","french",3,"because he know to talk in French and I will be able to talk a little"
"204","Z05C56","5",2,-0.646702946990732,"female","muslim","french",3,"because if we have experience to know French "
"205","Z07A11","7",3,2.35329705300927,"male","hindu","french",2,"because French is not too much hard to learn"
"206","Z07A16","7",3,1.35329705300927,"male","muslim","french",5,"they live in India so it is not necessary to speak French"
"207","Z07A18","7",3,1.35329705300927,"male","muslim","french",5,"we born on their place we learn from "
"208","Z07A19","7",3,1.35329705300927,"male","muslim","french",4,"because when I want to talk with them it will easier to talk"
"209","Z07A20","7",3,1.35329705300927,"male","muslim","french",1,"because I am a Indian so I will not understand in French"
"210","Z07A21","7",3,1.35329705300927,"male","hindu","french",2,"because it is hard to learn French"
"211","Z07A41","7",3,1.35329705300927,"female","hindu","french",4,"as it my ancestors language I try my best to learn it"
"212","Z07A43","7",3,1.35329705300927,"female","muslim","french",2,"because I will not understand that language"
"213","Z07A46","7",3,1.35329705300927,"female","muslim","french",2,"because we live in India they were living in French it will soemwhat disagree to understand that language"
"214","Z07A48","7",3,1.35329705300927,"female","muslim","french",3,"because it is hard for me to learn"
"215","Z07A51","7",3,2.35329705300927,"female","muslim","french",2,"because the language is not easy to learn"
"216","Z07A56","7",3,2.35329705300927,"female","hindu","french",3,"somewhat we spend with him so we learn very less or more"
"217","Z07A58","7",3,1.35329705300927,"female","hindu","french",2,"because if they speak to use automatically we can understand the language somewhat"
"218","Z07B05","7",3,1.35329705300927,"male","muslim","french",3,"because we can hear language of French people"
"219","Z07B12","7",3,2.35329705300927,"male","muslim","french",2,"because I don't know french harder or easier"
"220","Z07B12","7",3,2.35329705300927,"male","muslim","french",2,"because I don't know so harder or easier"
"221","Z07B41","7",3,1.35329705300927,"female","muslim","french",3,""
